"n_points","one_area","lon","lat"
1370,"RHO",-71.55994566,41.68389685
907,"ROM",24.96918232,45.84359796
59008,"RUC",39.80245698,54.88373843
9346,"RUE",53.73073876,56.12331853
8112,"RUN",45.85434037,64.50418421
14088,"RUS",44.67469326,48.91779832
1212,"RUW",31.24102708,58.78055976
2506,"RWA",29.91719523,-1.99798731
1266,"SAK",142.71207547,50.3342599
2782,"SAR",9.030029,40.09088088
3612,"SAS",-105.89005483,54.41922757
773,"SAU",44.58510242,24.02338171
15254,"SCA",-80.90042082,33.91755375
224,"SCI",-149.88325562,-17.45187798
64,"SCZ",166.22404932,-10.99208387
16904,"SDA",-100.21985622,44.43756367
1,"SEL",-15.86268648,30.14296023
3275,"SEN",-14.46817708,14.36697739
24,"SEY",55.5220677,-4.70189448
51,"SGE",-36.71862583,-54.3579816
5404,"SIC",14.14647287,37.56596762
1951,"SIE",-11.79209994,8.56034578
468,"SIN",33.7680386,29.70447198
382968,"SOA",135.82671616,-30.10453814
1197,"SOC",53.78351902,12.49162925
1605,"SOL",158.33998506,-8.14793443
2372,"SOM",45.86255319,6.06370579
276319,"SPA",-3.5517234,40.39416927
353,"SRL",80.70426571,7.61235709
999,"SUD",30.08706657,13.8872033
7716,"SUL",121.29483012,-2.10406842
17279,"SUM",101.6400768,-0.47759521
11752,"SUR",-55.91158943,4.12670757
13151,"SVA",18.37151643,78.8294471
410,"SWC",-85.14144436,15.43870928
183395,"SWE",16.74115723,62.78773775
3028,"SWI",8.23458716,46.80257618
756,"SWZ",31.49719338,-26.56211579
14002,"TAI",120.95940178,23.74833248
56583,"TAN",34.8234036,-6.27019678
83575,"TAS",146.60099785,-41.94278478
6958,"TCS",45.58312388,41.01420856
1,"TDC",-11.15734365,-38.66545461
5136,"TEN",-86.34752902,35.85105204
43098,"TEX",-99.35743679,31.49694154
20453,"THA",101.01490759,15.11989715
1107,"TKM",59.38352408,39.12222048
1735,"TOG",0.97583446,8.53493023
14,"TON",-174.82453185,-19.98207654
57,"TUA",-145.26549416,-16.02348622
60,"TUB",-150.06860542,-23.09392209
94,"TUE",27.29964162,41.26119862
1230,"TUN",9.56155572,34.11124296
6852,"TUR",35.43587039,38.98893748
3771,"TVA",94.79308741,51.57947047
23953,"TVL",28.07826685,-25.2657105
1505,"TZK",71.04218428,38.52781578
636,"UGA",32.38624065,1.28008216
2667,"UKR",31.11581544,49.06577305
1249,"URU",-56.01217767,-32.7995689
56974,"UTA",-111.67463244,39.32520384
442,"UZB",63.16950908,41.7504206
3607,"VAN",167.7055728,-16.2021541
88859,"VEN",-66.16904087,7.11881723
19966,"VER",-72.65980015,44.08247962
113091,"VIC",144.30785689,-36.85746645
11660,"VIE",106.30403016,16.65164518
45,"VNA",-64.34912638,11.05814758
10052,"VRG",-78.82589678,37.52180057
39203,"WAS",-120.43123061,47.38672446
496576,"WAU",122.17821088,-25.46606467
17151,"WHM",76.67316703,33.3215968
1,"WIN",-60.99581399,14.09530183
6435,"WIS",-89.73838902,44.64217154
25,"WSA",-13.13671746,24.66158211
7431,"WSB",72.11695974,62.53729779
1323,"WVA",-80.61195464,38.64123998
23519,"WYO",-107.53986541,42.99898778
3715,"YAK",130.11579275,66.17394158
4050,"YEM",47.5687601,15.83691322
1848,"YUG",18.72433855,44.16024112
12215,"YUK",-135.49814825,63.6357503
44208,"ZAI",23.6544568,-2.87623132
7194,"ZAM",27.79788138,-13.45307891
4456,"ZIM",29.87176247,-19.00000691
